Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,30.040000915527344,30.040000915527344,30.040000915527344,30.040000915527344,27.80095100402832,0
2022-01-04,29.649999618530273,29.649999618530273,29.649999618530273,29.649999618530273,27.440017700195312,0
2022-01-05,28.559999465942383,28.559999465942383,28.559999465942383,28.559999465942383,26.431262969970703,0
2022-01-06,28.530000686645508,28.530000686645508,28.530000686645508,28.530000686645508,26.403499603271484,0
2022-01-07,28.350000381469727,28.350000381469727,28.350000381469727,28.350000381469727,26.236915588378906,0
2022-01-10,28.3700008392334,28.3700008392334,28.3700008392334,28.3700008392334,26.25542449951172,0
2022-01-11,28.719999313354492,28.719999313354492,28.719999313354492,28.719999313354492,26.579336166381836,0
2022-01-12,28.790000915527344,28.790000915527344,28.790000915527344,28.790000915527344,26.644121170043945,0
2022-01-13,27.940000534057617,27.940000534057617,27.940000534057617,27.940000534057617,25.85747528076172,0
2022-01-14,28.06999969482422,28.06999969482422,28.06999969482422,28.06999969482422,25.977785110473633,0
2022-01-18,27.579999923706055,27.579999923706055,27.579999923706055,27.579999923706055,25.524307250976562,0
2022-01-19,27.579999923706055,27.579999923706055,27.579999923706055,27.579999923706055,25.524307250976562,0
2022-01-20,27.440000534057617,27.440000534057617,27.440000534057617,27.440000534057617,25.394742965698242,0
2022-01-21,26.729999542236328,26.729999542236328,26.729999542236328,26.729999542236328,24.737661361694336,0
2022-01-24,26.940000534057617,26.940000534057617,26.940000534057617,26.940000534057617,24.932008743286133,0
2022-01-25,26.170000076293945,26.170000076293945,26.170000076293945,26.170000076293945,24.219402313232422,0
2022-01-26,26.239999771118164,26.239999771118164,26.239999771118164,26.239999771118164,24.2841854095459,0
2022-01-27,26.290000915527344,26.290000915527344,26.290000915527344,26.290000915527344,24.33045768737793,0
2022-01-28,27.389999389648438,27.389999389648438,27.389999389648438,27.389999389648438,25.348468780517578,0
2022-01-31,28.100000381469727,28.100000381469727,28.100000381469727,28.100000381469727,26.00554847717285,0
2022-02-01,28.25,28.25,28.25,28.25,26.144367218017578,0
2022-02-02,28.030000686645508,28.030000686645508,28.030000686645508,28.030000686645508,25.940767288208008,0
2022-02-03,26.979999542236328,26.979999542236328,26.979999542236328,26.979999542236328,24.96902847290039,0
